dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-08 11:00:00 +0000 UTC,24.6,22.24,25.04,1013,79,1,37,98
2017-01-08 12:00:00 +0000 UTC,25.63,24.14,26.14,1013,78,0.36,305,100
2017-01-08 13:00:00 +0000 UTC,26.86,26.14,28.26,1013,79,0.94,250,95
2017-01-08 14:00:00 +0000 UTC,27.8,27.17,28.76,1012,77,1.25,271,93
2017-01-08 15:00:00 +0000 UTC,30.42,29.34,30.88,1012,65,1.43,270,95
2017-01-08 16:00:00 +0000 UTC,31.1,30.57,31.58,1011,63,1.67,265,92
2017-01-08 17:00:00 +0000 UTC,30.44,27.76,31.1,1010,61,1.74,274,78
2017-01-08 18:00:00 +0000 UTC,30.29,26.26,31.29,1008,58,1.68,276,76
2017-01-08 19:00:00 +0000 UTC,31.1,27.24,31.73,1008,53,1.29,273,95
2017-01-08 20:00:00 +0000 UTC,29.69,26.64,31.12,1008,56,1.15,239,100
2017-01-08 21:00:00 +0000 UTC,27.44,25.84,28.4,1009,69,1.24,187,100
2017-01-08 22:00:00 +0000 UTC,24.92,23.54,27.26,1009,74,1.36,192,100
2017-01-08 23:00:00 +0000 UTC,25.27,23.84,26.82,1011,69,1.36,150,100
2017-01-09 00:00:00 +0000 UTC,24.59,23.64,25.76,1011,76,1.18,93,100
2017-01-09 01:00:00 +0000 UTC,24.39,22.64,25.26,1011,76,1.94,43,100
2017-01-09 02:00:00 +0000 UTC,24.14,22.64,24.74,1012,82,1.4,29,100
2017-01-09 03:00:00 +0000 UTC,23.59,22.14,24.26,1011,87,1.13,35,100
2017-01-09 04:00:00 +0000 UTC,23.16,21.74,23.64,1011,87,1.22,31,100
2017-01-09 05:00:00 +0000 UTC,23.19,21.84,23.67,1010,88,0.96,40,99
2017-01-09 06:00:00 +0000 UTC,22.96,22.75,23.23,1010,90,0.2,346,86
2017-01-09 07:00:00 +0000 UTC,22.92,22.46,23.26,1010,91,0.5,322,84
2017-01-09 08:00:00 +0000 UTC,23.15,21.34,23.99,1010,89,1,351,87
2017-01-09 09:00:00 +0000 UTC,22.58,21.24,23.04,1011,96,1.09,351,97
2017-01-09 10:00:00 +0000 UTC,25,23.96,25.45,1011,79,0.86,351,92
2017-01-09 11:00:00 +0000 UTC,25.48,24.86,25.86,1012,76,1.51,326,95
2017-01-09 12:00:00 +0000 UTC,26.25,25.34,26.71,1011,74,2.24,316,99
2017-01-09 13:00:00 +0000 UTC,26.75,26.27,27.76,1011,77,2.79,306,99
2017-01-09 14:00:00 +0000 UTC,27.05,26.55,29.34,1010,79,2.66,296,99
2017-01-09 15:00:00 +0000 UTC,31.02,30.36,31.57,1010,64,2.85,284,99
2017-01-09 16:00:00 +0000 UTC,30.8,28.74,31.22,1009,69,3.18,281,98
2017-01-09 17:00:00 +0000 UTC,31.45,30.14,32.26,1008,63,3.44,276,98
2017-01-09 18:00:00 +0000 UTC,30.96,30.14,31.73,1007,60,3.43,279,99
2017-01-09 19:00:00 +0000 UTC,31.06,27.96,31.84,1006,58,3.11,272,98
2017-01-09 20:00:00 +0000 UTC,30.14,24.96,32.16,1006,58,2.72,251,98
2017-01-09 21:00:00 +0000 UTC,25.41,24.75,27.24,1008,86,2.09,254,98
2017-01-09 22:00:00 +0000 UTC,25.14,24.61,25.84,1008,81,1.04,350,100
2017-01-09 23:00:00 +0000 UTC,24.11,23.89,25.14,1010,82,3.44,9,99
2017-01-10 00:00:00 +0000 UTC,23.21,20.96,24.3,1011,84,3.35,12,100
2017-01-10 01:00:00 +0000 UTC,22.36,21.46,23.34,1012,89,2.48,11,100
2017-01-10 02:00:00 +0000 UTC,22.43,20.96,23.17,1013,90,1.24,17,100
2017-01-10 03:00:00 +0000 UTC,21.33,20.96,22.14,1012,96,0.27,148,100
2017-01-10 04:00:00 +0000 UTC,21.3,20.93,21.75,1011,97,1.72,356,100
2017-01-10 05:00:00 +0000 UTC,21.48,20.96,21.99,1010,97,2.51,351,100
2017-01-10 06:00:00 +0000 UTC,21.2,20.79,21.68,1009,98,2.13,336,100
2017-01-10 07:00:00 +0000 UTC,20.9,20.5,21.36,1010,98,1.47,304,100
2017-01-10 08:00:00 +0000 UTC,21.03,19.74,21.48,1010,98,1.3,271,100
2017-01-10 09:00:00 +0000 UTC,21.11,19.64,21.51,1010,99,1.49,241,100
2017-01-10 10:00:00 +0000 UTC,23.09,20.34,23.48,1011,84,2.16,238,89
2017-01-10 11:00:00 +0000 UTC,24.16,22.14,24.45,1011,81,3.14,257,97
2017-01-10 12:00:00 +0000 UTC,24.78,22.14,25.18,1010,82,3.35,267,96
2017-01-10 13:00:00 +0000 UTC,25.5,25.5,25.5,1010,81,4.28,266,99
2017-01-10 14:00:00 +0000 UTC,26.04,24.74,27.09,1010,82,4.36,270,97
2017-01-10 15:00:00 +0000 UTC,29.5,26.84,30.21,1010,68,4.69,277,96
2017-01-10 16:00:00 +0000 UTC,29.2,27.34,30.54,1010,71,4.7,274,93
2017-01-10 17:00:00 +0000 UTC,28.82,28,29.48,1009,72,4.54,272,94
2017-01-10 18:00:00 +0000 UTC,30.48,28.24,31.53,1008,65,4.22,264,98
2017-01-10 19:00:00 +0000 UTC,30.12,23.74,31.2,1007,67,3.45,269,95
2017-01-10 20:00:00 +0000 UTC,28.58,23.74,29.39,1007,72,3.69,274,97
2017-01-10 21:00:00 +0000 UTC,26.51,23.34,27.13,1009,94,2.84,271,98
2017-01-10 22:00:00 +0000 UTC,25.21,23.14,25.78,1011,89,2.52,218,100
2017-01-10 23:00:00 +0000 UTC,24.02,22.64,24.56,1011,92,2.31,200,100
2017-01-11 00:00:00 +0000 UTC,23.83,22.64,24.62,1011,92,0.56,267,100
2017-01-11 01:00:00 +0000 UTC,23.95,21.24,24.72,1012,91,0.84,262,100
2017-01-11 02:00:00 +0000 UTC,23.81,21.34,24.52,1012,90,0.52,116,100
2017-01-11 03:00:00 +0000 UTC,22.09,21.14,22.76,1012,99,0.89,123,100
2017-01-11 04:00:00 +0000 UTC,21.58,20.84,22.23,1011,98,1.18,90,99
2017-01-11 05:00:00 +0000 UTC,21.47,20.64,22.07,1011,98,0.95,61,100
2017-01-11 06:00:00 +0000 UTC,21.67,20.64,22.27,1010,98,0.67,17,100
2017-01-11 07:00:00 +0000 UTC,21.58,20.34,22.23,1011,98,0.56,259,99
2017-01-11 08:00:00 +0000 UTC,21.77,20.64,22.43,1011,98,1.43,259,100
2017-01-11 09:00:00 +0000 UTC,21.49,20.14,22.15,1012,99,1.47,260,100
2017-01-11 10:00:00 +0000 UTC,23.51,22.14,23.76,1013,87,1.59,250,100
2017-01-11 11:00:00 +0000 UTC,24.06,23.24,24.5,1013,87,2.01,256,96
2017-01-11 12:00:00 +0000 UTC,25.03,24.8,25.74,1013,85,1.95,258,97
2017-01-11 13:00:00 +0000 UTC,25.79,25.43,26.49,1013,83,1.27,280,84
2017-01-11 14:00:00 +0000 UTC,26.58,26.29,27.17,1012,82,0.93,315,51
2017-01-11 15:00:00 +0000 UTC,29.73,29.4,30.09,1011,69,0.99,284,29
2017-01-11 16:00:00 +0000 UTC,30.64,29.24,31.22,1010,66,1.3,265,37
2017-01-11 17:00:00 +0000 UTC,30.85,29.74,31.56,1009,62,1.39,252,37
2017-01-11 18:00:00 +0000 UTC,30.7,29.26,32.18,1008,60,1.49,266,54
